# call_index  iSCC  SCC_error(a.u.)
     697    12  5.381342400000e-06
     698    12  5.410778300000e-06
     699    12  5.240030800000e-06
     700    12  6.732343600000e-06
     701    12  6.405347000000e-06
     702    12  5.924103900000e-06
     703    12  6.292394300000e-06
     704    12  6.334033100000e-06
     705    12  8.359192600000e-06
     706    12  8.877231700000e-06
     707    12  9.779608700000e-06
     708    13  3.442006700000e-06
     709    13  3.684005800000e-06
     710    13  3.978590400000e-06
     711    13  2.957239100000e-06
     712    12  4.503880300000e-06
     713    12  4.551009900000e-06
     714    12  3.844131000000e-06
     715    12  7.668093500000e-06
     716    12  8.330911600000e-06
     717    12  6.401866800000e-06
     718    12  4.989297300000e-06
     719    12  5.304085600000e-06
     720    12  5.765223500000e-06
     721    12  5.829914800000e-06
     722    12  5.469925000000e-06
     723    12  7.058680100000e-06
     724    12  6.508790500000e-06
     725    12  6.769873700000e-06
     726    12  6.684405000000e-06
     727    12  8.107084200000e-06
     728    12  9.787804000000e-06
     729    12  9.797560500000e-06
     730    13  3.936316500000e-06
     731    13  4.223221300000e-06
     732    13  3.966338300000e-06
     733    12  6.069400100000e-06
     734    12  6.785343100000e-06
     735    12  4.557982700000e-06
     736    12  8.095772900000e-06
     737    13  3.747038500000e-06
     738    12  9.589549800000e-06
     739    12  4.801730500000e-06
     740    12  7.897668900000e-06
     741    12  9.136481500000e-06
     742    12  9.023243300000e-06
     743    12  7.997245100000e-06
     744    12  6.226483000000e-06
     745    12  5.900679800000e-06
     746    12  6.091557000000e-06
     747    12  6.269017300000e-06
     748    12  7.437796300000e-06
     749    12  7.618686500000e-06
     750    12  7.273855600000e-06
     751    12  9.946243600000e-06
     752    12  8.762398600000e-06
     753    12  9.183713000000e-06
     754    12  9.350363000000e-06
     755    12  8.280323900000e-06
     756    12  6.960263600000e-06
     757    12  8.830662800000e-06
     758    12  9.873081100000e-06
     759    12  9.441662100000e-06
     760    12  7.070281000000e-06
     761    12  6.653915400000e-06
     762    12  7.059025100000e-06
     763    12  8.671434400000e-06
     764    12  7.911448400000e-06
     765    12  6.090504900000e-06
     766    12  6.078393800000e-06
     767    12  6.048787400000e-06
     768    12  5.996722000000e-06
     769    12  7.962158700000e-06
     770    12  9.128179300000e-06
     771    13  2.446865700000e-06
     772    12  9.453037600000e-06
     773    12  8.354711800000e-06
     774    12  7.850885500000e-06
     775    12  6.566328400000e-06
     776    12  4.673462500000e-06
     777    12  4.124255000000e-06
     778    12  6.057855800000e-06
     779    12  6.829401700000e-06
     780    12  6.560084400000e-06
     781    12  6.582108900000e-06
     782    12  7.879105600000e-06
     783    13  3.880793900000e-06
     784    13  4.296662900000e-06
     785    13  4.069450900000e-06
     786    13  2.351114700000e-06
     787    12  9.817835500000e-06
     788    13  2.479364000000e-06
     789    13  3.138368000000e-06
     790    12  8.683524000000e-06
     791    12  8.892165400000e-06
     792    13  2.549755200000e-06
     793    13  2.670428100000e-06
     794    13  3.166141300000e-06
     795    13  3.762215500000e-06
     796    12  7.853431500000e-06
     797    12  5.467956500000e-06
     798    12  4.375479600000e-06
     799    12  5.633845200000e-06
     800    12  6.117361600000e-06
     801    12  5.697870400000e-06
     802    12  4.902900100000e-06
     803    12  6.861444800000e-06
     804    12  9.637037800000e-06
     805    13  4.252107800000e-06
     806    13  4.468600900000e-06
     807    12  9.531128700000e-06
     808    12  7.046205000000e-06
     809    12  7.286583600000e-06
     810    12  7.819218400000e-06
     811    12  8.416005500000e-06
     812    12  7.262100600000e-06
     813    12  9.374416900000e-06
     814    13  2.447393700000e-06
     815    13  2.851738200000e-06
     816    12  9.838846700000e-06
     817    12  7.847216500000e-06
     818    12  5.176987000000e-06
     819    12  5.404775600000e-06
     820    12  6.875363400000e-06
     821    12  6.091400000000e-06
     822    12  5.873800300000e-06
