# call_index  Electronic(H)         Repulsive(H)          Total(H)
     398        -86.5041633905          0.8877787955        -85.6163845950
     399        -86.4529814420          0.8264526950        -85.6265287470
     400        -86.4010233024          0.7724562252        -85.6285670772
     401        -86.3707466584          0.7450825494        -85.6256641090
     402        -86.3772945146          0.7608037011        -85.6164908135
     403        -86.4204648861          0.8140153011        -85.6064495849
     404        -86.4813174332          0.8680400015        -85.6132774316
     405        -86.5386716520          0.8948330838        -85.6438385682
     406        -86.5857928859          0.9395293941        -85.6462634917
     407        -86.6071025933          0.9858437037        -85.6212588896
     408        -86.5849855719          0.9787301455        -85.6062554264
     409        -86.5233228954          0.9089255572        -85.6143973381
     410        -86.4462875732          0.8194295323        -85.6268580409
     411        -86.3804827634          0.7468603594        -85.6336224040
     412        -86.3478211018          0.7205280655        -85.6272930362
     413        -86.3575361600          0.7482896394        -85.6092465206
     414        -86.3980111730          0.7962768716        -85.6017343014
     415        -86.4463025177          0.8156010006        -85.6307015171
     416        -86.4954948645          0.8427113005        -85.6527835640
     417        -86.5388901546          0.9060737003        -85.6328164542
     418        -86.5560275544          0.9520353866        -85.6039921678
     419        -86.5366685347          0.9357363609        -85.6009321738
     420        -86.4934272073          0.8766552559        -85.6167719513
     421        -86.4498707965          0.8181197674        -85.6317510291
     422        -86.4271058675          0.7926196203        -85.6344862473
     423        -86.4386553971          0.8207417323        -85.6179136647
     424        -86.4802699141          0.8820715513        -85.5981983628
     425        -86.5277903820          0.9121691440        -85.6156212380
     426        -86.5685301647          0.9132125713        -85.6553175934
     427        -86.6043915894          0.9521735460        -85.6522180433
     428        -86.6210394351          1.0040617057        -85.6169777294
     429        -86.6012793666          1.0050287895        -85.5962505772
     430        -86.5478591601          0.9409344264        -85.6069247336
     431        -86.4839908298          0.8564139236        -85.6275769062
     432        -86.4348599016          0.7962858027        -85.6385740989
     433        -86.4179855290          0.7891915707        -85.6287939582
     434        -86.4375268271          0.8359831792        -85.6015436479
     435        -86.4755197716          0.8802579892        -85.5952617824
     436        -86.5104615122          0.8730610394        -85.6374004728
     437        -86.5449401698          0.8835360314        -85.6614041384
     438        -86.5758315014          0.9411356719        -85.6346958295
     439        -86.5826216833          0.9832250823        -85.5993966010
     440        -86.5535846734          0.9575515979        -85.5960330756
     441        -86.5008119211          0.8831525523        -85.6176593687
     442        -86.4504813511          0.8141253303        -85.6363560208
     443        -86.4249234210          0.7884108558        -85.6365125652
     444        -86.4341563997          0.8194910943        -85.6146653054
     445        -86.4686235377          0.8774675234        -85.5911560143
     446        -86.5010440332          0.8836267101        -85.6174173231
     447        -86.5256707169          0.8632477162        -85.6624230007
     448        -86.5512317306          0.8965840659        -85.6546476647
     449        -86.5641448779          0.9526281071        -85.6115167708
     450        -86.5465147936          0.9592363496        -85.5872784440
     451        -86.4990126978          0.8936243150        -85.6053883828
     452        -86.4445868649          0.8086510403        -85.6359358246
     453        -86.4088610109          0.7595100849        -85.6493509260
     454        -86.4065159497          0.7719760025        -85.6345399472
     455        -86.4376746376          0.8364078836        -85.6012667541
     456        -86.4802700671          0.8834709428        -85.5967991243
     457        -86.5154572538          0.8734562272        -85.6420010266
     458        -86.5515333057          0.8878712410        -85.6636620647
     459        -86.5866351679          0.9528217612        -85.6338134068
     460        -86.6025453583          1.0096514354        -85.5928939229
     461        -86.5867754582          0.9964312355        -85.5903442227
     462        -86.5499192861          0.9271999960        -85.6227192901
     463        -86.5194812185          0.8724060074        -85.6470752111
     464        -86.5141614964          0.8689298346        -85.6452316618
     465        -86.5388560300          0.9210748753        -85.6177811547
     466        -86.5809013035          0.9888055097        -85.5920957937
     467        -86.6148497246          0.9950258768        -85.6198238478
     468        -86.6395590557          0.9789079887        -85.6606510670
     469        -86.6646558183          1.0139953238        -85.6506604945
     470        -86.6772511842          1.0705764907        -85.6066746935
     471        -86.6581447043          1.0746346690        -85.5835100353
     472        -86.6083153848          0.9983679000        -85.6099474848
     473        -86.5534925405          0.9092940087        -85.6441985318
     474        -86.5179751802          0.8644638555        -85.6535113247
     475        -86.5122803379          0.8803793529        -85.6319009850
     476        -86.5310370404          0.9328232486        -85.5982137917
     477        -86.5527694066          0.9529498969        -85.5998195097
     478        -86.5653535175          0.9246782884        -85.6406752292
     479        -86.5789260553          0.9233491837        -85.6555768717
     480        -86.5914115241          0.9662219238        -85.6251896003
     481        -86.5837859472          0.9935277394        -85.5902582078
     482        -86.5428724038          0.9416272161        -85.6012451878
     483        -86.4838904674          0.8412638192        -85.6426266482
     484        -86.4367544061          0.7733351419        -85.6634192642
     485        -86.4174656015          0.7681170060        -85.6493485955
     486        -86.4271223105          0.8127668619        -85.6143554485
     487        -86.4511620527          0.8565710337        -85.5945910190
     488        -86.4715248291          0.8521758334        -85.6193489957
     489        -86.4895632431          0.8401254676        -85.6494377755
     490        -86.5112692308          0.8739256335        -85.6373435974
     491        -86.5248830670          0.9257306730        -85.5991523939
     492        -86.5125737826          0.9267714219        -85.5858023608
     493        -86.4737623849          0.8501455661        -85.6236168188
     494        -86.4337448116          0.7732103123        -85.6605344993
     495        -86.4148504982          0.7515470047        -85.6633034935
     496        -86.4245337077          0.7905479535        -85.6339857542
     497        -86.4550556883          0.8527036672        -85.6023520211
     498        -86.4895701667          0.8819339337        -85.6076362330
     499        -86.5215032977          0.8830955120        -85.6384077857
