# CDFTB-CI Spectral Densities
# nu(cm-1)      SD_J(cm-1)      SD_dE1(cm-1)    SD_dE2(cm-1)
   1351.0261        0.772806      113.570900      156.724649
   1355.0321        1.650291       93.891007      132.796828
   1359.0381        1.829974      115.907603      134.828509
   1363.0441        3.046285      210.045253      214.016040
   1367.0501        3.654808      481.229299      618.201798
   1371.0561        4.055101     1284.556226     1533.062689
   1375.0621        3.518070     1191.132275     1122.318312
   1379.0681        2.301725      355.522209      265.061439
   1383.0741        1.096885      156.867795      158.751727
   1387.0802        1.622922       96.790245      106.195707
   1391.0862        1.230092       92.092107       97.738067
   1395.0922        1.636024      115.757369       97.534384
   1399.0982        2.351279      121.585116      102.390499
   1403.1042        3.451829      101.496687      129.631405
   1407.1102        2.199912      124.762922      139.566797
   1411.1162        1.402423      138.675629      119.128616
   1415.1222        1.536030      113.442023      146.983268
   1419.1283        1.860432      151.427414      173.195260
   1423.1343        1.175818      205.178943      200.374469
   1427.1403        1.430673      289.773399      201.924916
   1431.1463        1.999396      207.066477      204.039895
   1435.1523        1.857530      157.508101      211.959055
   1439.1583        1.031397      223.888479      196.790785
   1443.1643        1.048167      258.290035      228.155746
   1447.1703        1.066459      269.334544      330.531988
   1451.1764        1.332547      294.188425      439.715937
   1455.1824        2.086584      441.724280      546.769288
   1459.1884        1.448492      516.616218      522.372370
   1463.1944        1.441312      721.642886      842.748327
   1467.2004        2.334330     1196.892104     1084.960537
   1471.2064        3.391618     2266.983738     1876.768851
   1475.2124        4.814217     5761.341812     4446.821361
   1479.2184       11.856876     9455.345975     8057.689440
   1483.2244        9.146069    10630.714021    10194.362115
   1487.2305        8.130013     7724.813174     8253.831782
   1491.2365        4.923062     2958.938109     2961.876489
   1495.2425        4.190637     1338.878921     1577.119828
   1499.2485        1.651108      799.053093     1226.311277
   1503.2545        1.195232      778.981895      805.735642
   1507.2605        1.576358      547.837422      411.393813
   1511.2665        2.212293      459.095326      327.498594
   1515.2725        0.843004      314.125583      219.690486
   1519.2786        1.537531      208.041351      147.714393
   1523.2846        1.817267      110.961429      120.055891
   1527.2906        1.236189      157.601311      173.564517
   1531.2966        1.229854      221.680324      290.303051
   1535.3026        1.844443      346.848292      461.034608
   1539.3086        1.956130      489.026034      350.796713
   1543.3146        1.285127      241.813888      184.062916
   1547.3206        1.346842      182.178856      189.453529
   1551.3267        2.029275      209.350772      347.031273
   1555.3327        1.882720      389.622629      422.582358
   1559.3387        2.211861     1334.043276     1352.494140
   1563.3447        2.236630     1554.760107     1687.778229
   1567.3507        2.046735      724.555417      789.213912
   1571.3567        1.406535      465.008357      527.747413
   1575.3627        2.195803      404.195116      516.965700
   1579.3687        1.908316      567.077829      437.686820
   1583.3747        1.126030      337.432172      211.457027
   1587.3808        1.331652      300.527564      187.660468
   1591.3868        1.121267      317.042564      206.014000
   1595.3928        1.507625      207.283821      239.899603
   1599.3988        1.255807      243.983204      288.733008
   1603.4048        1.817074      285.018247      251.664633
   1607.4108        1.702846      402.319805      312.680809
   1611.4168        2.018925      861.440675      879.548883
   1615.4228        3.728108     1704.014620     1804.540368
   1619.4289       11.799184     2966.562726     3987.415576
   1623.4349       12.082444     4403.087936     5247.482335
   1627.4409       15.672943     5040.177369     4495.355274
   1631.4469        8.455264     4222.573975     2745.280737
   1635.4529        5.381482     2091.050223     1857.214121
   1639.4589        3.545750     1435.867114      946.178009
   1643.4649        4.639453     1176.709101     1020.321845
   1647.4709        5.296326     1927.655856     1805.820477
   1651.4770        8.452404     1647.891609     1946.801916
   1655.4830        5.632622     1393.904518     1689.997124
   1659.4890        3.528195      913.129378     1092.886780
   1663.4950        3.579547      777.114342      832.841818
   1667.5010        3.419744      598.099393      703.281549
   1671.5070        6.191891      403.406504      357.658569
   1675.5130        3.795444      357.298948      267.719385
   1679.5190        3.496893      406.578207      337.455947
   1683.5251        4.900794      542.144377      462.415118
   1687.5311        6.026186      124.888217      113.767723
   1691.5371        6.081890       95.601756      130.751754
   1695.5431        5.203378       77.302161      120.109916
   1699.5491        7.688004      203.918938      272.585042
   1703.5551        7.290684     1867.264433     2173.207522
   1707.5611        5.773854      995.870890     1121.229971
   1711.5671        5.791261      188.750528      223.375111
   1715.5731        5.012388      109.920424      157.161498
   1719.5792        4.660584       63.996215       85.278402
   1723.5852        5.258215       62.441524       51.560140
   1727.5912        5.149019       59.939429       55.180692
   1731.5972        5.882339       60.671503       49.934345
   1735.6032        4.146460       66.990397       34.221597
   1739.6092        3.515807       56.932290       28.680347
   1743.6152        3.699243       43.032686       26.980336
   1747.6212        8.522580       38.737098       35.465983
   1751.6273       10.880470       45.401030       43.509664
   1755.6333        9.673990       45.596103       47.410629
   1759.6393        5.250205       68.245300       65.788087
   1763.6453        3.990156       65.739896       59.994836
   1767.6513        2.403547       71.804732       79.563005
   1771.6573        1.523730       26.118282       29.097036
   1775.6633        1.449316       19.549252       20.031891
   1779.6693        1.813369       18.089445       18.865479
   1783.6754        0.968231       17.102159       19.533684
   1787.6814        1.360120       17.025000       17.273527
   1791.6874        1.301299       14.715766       13.911619
   1795.6934        1.036128       13.338341       11.312627
   1799.6994        1.104831       12.661902       13.952919
   1803.7054        1.102440       89.533681       98.074264
   1807.7114        0.905749       21.822470       24.904026
   1811.7174        0.854390       13.043336       14.645931
   1815.7234        1.176015       11.790029       11.833104
   1819.7295        0.974429       10.774257       13.453338
   1823.7355        0.695607       14.054365       15.563545
   1827.7415        0.609639       15.977548       14.832384
   1831.7475        1.008310       15.302684       12.739813
   1835.7535        0.603531       14.484290       12.832960
   1839.7595        0.840539       12.321924       12.315877
   1843.7655        0.510437       11.240181       11.814728
   1847.7715        0.641631       12.889034        9.289659
   1851.7776        0.941680        9.023272        7.428177
