# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
  179    716.00     -130.5884    -85.4605046657    -85.4496892941    0.294301
  180    720.00      132.8675    -85.4680910661    -85.4566179424    0.312200
  181    724.00      128.2453    -85.4656634605    -85.4531303537    0.341043
  182    728.00     -135.5683    -85.4734415145    -85.4588022503    0.398355
  183    732.00     -147.0464    -85.4662896494    -85.4510351753    0.415095
  184    736.00      147.0739    -85.4688995339    -85.4553028979    0.369983
  185    740.00     -143.9868    -85.4661857729    -85.4535200770    0.344651
  186    744.00      132.8743    -85.4653336525    -85.4527209116    0.343210
  187    748.00     -122.6242    -85.4827784089    -85.4702767115    0.340189
  188    752.00     -123.3572    -85.4729572554    -85.4609180792    0.327603
  189    756.00      117.1381    -85.4690823291    -85.4585149053    0.287554
  190    760.00      112.3795    -85.4686058462    -85.4583328395    0.279543
  191    764.00     -110.6036    -85.4670538084    -85.4554230695    0.316489
  192    768.00      107.7134    -85.4788992055    -85.4661229678    0.347659
  193    772.00      115.8047    -85.4781220168    -85.4655588750    0.341861
  194    776.00     -118.4705    -85.4719306755    -85.4612878867    0.289605
  195    780.00      114.3366    -85.4657722777    -85.4563088190    0.257514
  196    784.00     -107.4470    -85.4739630523    -85.4628663909    0.301956
  197    788.00      -98.1365    -85.4722026267    -85.4567863483    0.419498
  198    792.00      -92.3978    -85.4591930767    -85.4422281543    0.461639
  199    796.00      -90.4142    -85.4740421921    -85.4597480068    0.388965
  200    800.00       87.3404    -85.4761696948    -85.4665243759    0.262462
  201    804.00       88.3648    -85.4721539326    -85.4637230069    0.229417
  202    808.00      -84.3244    -85.4658243365    -85.4548625644    0.298285
  203    812.00      -83.4150    -85.4678647363    -85.4535330233    0.389986
  204    816.00       82.9947    -85.4795864880    -85.4657200106    0.377326
  205    820.00      -81.5126    -85.4721258356    -85.4614203360    0.291311
  206    824.00       83.3990    -85.4539246566    -85.4459028722    0.218284
  207    828.00      -89.3311    -85.4608016235    -85.4521926899    0.234261
  208    832.00       85.5211    -85.4796803697    -85.4688838600    0.293788
  209    836.00       79.9443    -85.4686630004    -85.4564622297    0.332000
  210    840.00       77.2227    -85.4679977573    -85.4575483928    0.284342
  211    844.00      -78.1455    -85.4701398051    -85.4621205139    0.218216
  212    848.00      -83.8080    -85.4698727599    -85.4614317542    0.229691
  213    852.00       82.9230    -85.4798990222    -85.4691899088    0.291410
  214    856.00       78.0531    -85.4688697955    -85.4565258874    0.335895
  215    860.00       77.1362    -85.4739891792    -85.4618319761    0.330814
  216    864.00       79.6988    -85.4687997572    -85.4586948096    0.274970
  217    868.00      -80.6076    -85.4644510983    -85.4553586410    0.247418
  218    872.00       81.8499    -85.4810740984    -85.4693824940    0.318145
  219    876.00       73.1459    -85.4738661101    -85.4594920954    0.391137
  220    880.00       78.1843    -85.4856696404    -85.4718681048    0.375559
  221    884.00       85.9479    -85.4689332721    -85.4588920993    0.273234
  222    888.00       91.4639    -85.4605003398    -85.4528529149    0.208097
  223    892.00      -91.8389    -85.4857653226    -85.4772852710    0.230754
  224    896.00       87.6651    -85.4737010964    -85.4617722924    0.324599
  225    900.00       84.0883    -85.4740774046    -85.4602958127    0.375016
  226    904.00      -91.0947    -85.4732261437    -85.4610821962    0.330454
  227    908.00       97.0851    -85.4694277949    -85.4601443938    0.252614
  228    912.00       92.4885    -85.4717408853    -85.4627593376    0.244400
  229    916.00       87.3771    -85.4645201620    -85.4522867735    0.332887
  230    920.00      -86.2119    -85.4763469589    -85.4613807181    0.407252
  231    924.00       85.4272    -85.4830385286    -85.4691645688    0.377530
  232    928.00      -91.7613    -85.4746847234    -85.4630986040    0.315274
  233    932.00      -82.9827    -85.4613838005    -85.4517071267    0.263316
  234    936.00      -78.7635    -85.4682795309    -85.4581610121    0.275339
  235    940.00      -79.0882    -85.4955657416    -85.4841109334    0.311701
  236    944.00       76.5301    -85.4832995774    -85.4726943634    0.288583
  237    948.00       77.8294    -85.4651147460    -85.4559869166    0.248381
  238    952.00      -77.5653    -85.4582626810    -85.4486938105    0.260382
  239    956.00      -76.2132    -85.4631791999    -85.4512804197    0.323782
  240    960.00       86.9909    -85.4740281080    -85.4606005177    0.365383
  241    964.00       88.3575    -85.4817288677    -85.4708896694    0.294950
  242    968.00       88.2550    -85.4787935550    -85.4709538230    0.213330
  243    972.00      -87.5002    -85.4707222366    -85.4638114027    0.188053
  244    976.00      -83.3484    -85.4703267264    -85.4621732128    0.221868
  245    980.00      -80.5300    -85.4699750242    -85.4572791721    0.345472
  246    984.00       82.0746    -85.4749547309    -85.4610193305    0.379202
  247    988.00       79.7789    -85.4723162577    -85.4610317892    0.307066
  248    992.00       85.1115    -85.4657380193    -85.4561881825    0.259864
  249    996.00       89.0545    -85.4750933644    -85.4659387947    0.249109
  250   1000.00      -86.1436    -85.4607129447    -85.4499656758    0.292448
  251   1004.00       93.6932    -85.4660115320    -85.4536040717    0.337624
  252   1008.00      -92.0902    -85.4833397341    -85.4724781385    0.295559
  253   1012.00       91.8660    -85.4821809465    -85.4724166385    0.265700
  254   1016.00      -98.6283    -85.4747241057    -85.4641691143    0.287216
  255   1020.00       99.6895    -85.4663166543    -85.4551600623    0.303586
  256   1024.00     -102.5846    -85.4690808493    -85.4581302648    0.297981
  257   1028.00      105.1836    -85.4653451489    -85.4561602180    0.249935
  258   1032.00     -108.6615    -85.4710974421    -85.4624410824    0.235552
  259   1036.00     -112.3234    -85.4790031225    -85.4688700536    0.275735
  260   1040.00     -110.8531    -85.4708394376    -85.4584623775    0.336797
  261   1044.00     -107.9440    -85.4661230597    -85.4522516075    0.377461
  262   1048.00     -107.4199    -85.4688488628    -85.4571583685    0.318115
  263   1052.00     -105.5626    -85.4727306715    -85.4641275217    0.234104
  264   1056.00      106.6829    -85.4667272429    -85.4583188222    0.228805
  265   1060.00     -109.1605    -85.4556206144    -85.4460530693    0.260346
  266   1064.00      105.5029    -85.4677525094    -85.4576408203    0.275153
  267   1068.00      100.7165    -85.4753743853    -85.4654526467    0.269984
  268   1072.00       96.4954    -85.4747171313    -85.4655100478    0.250538
  269   1076.00       93.3010    -85.4735464656    -85.4641701160    0.255143
  270   1080.00      -96.1598    -85.4719200607    -85.4623001496    0.261771
  271   1084.00       91.4306    -85.4687412470    -85.4594565639    0.252649
  272   1088.00      -86.7409    -85.4645530926    -85.4558988528    0.235494
  273   1092.00       82.0484    -85.4667680543    -85.4586238612    0.221615
  274   1096.00       75.0103    -85.4648790703    -85.4556774371    0.250389
  275   1100.00      -71.1152    -85.4701880650    -85.4586020025    0.315273
  276   1104.00      -74.3881    -85.4824076503    -85.4710776227    0.308306
  277   1108.00       80.2922    -85.4777203503    -85.4692095530    0.231591
  278   1112.00       80.7853    -85.4618334249    -85.4549735222    0.186667
  279   1116.00           nan               nan               nan         nan
  280   1120.00      -62.5829    -85.4849823879    -85.4714915307    0.367105
  281   1124.00      -62.4928    -85.4789829560    -85.4620685246    0.460265
  282   1128.00      -63.1262    -85.4675099290    -85.4526749943    0.403679
  283   1132.00      -63.3336    -85.4757381108    -85.4646013689    0.303046
  284   1136.00      -60.1233    -85.4737374773    -85.4651542514    0.233561
  285   1140.00       54.7514    -85.4742774361    -85.4637536851    0.286366
  286   1144.00       53.0878    -85.4657162694    -85.4531494240    0.341961
  287   1148.00      -54.3948    -85.4766896520    -85.4662354436    0.284473
  288   1152.00      -53.1760    -85.4795665117    -85.4707950898    0.238683
  289   1156.00      -48.2092    -85.4747609873    -85.4646064407    0.276319
  290   1160.00      -41.4579    -85.4871692927    -85.4734941224    0.372120
  291   1164.00       37.6427    -85.4756448138    -85.4591158794    0.449775
  292   1168.00      -38.1971    -85.4675601406    -85.4532992974    0.388057
  293   1172.00      -39.7440    -85.4692712732    -85.4587232441    0.287026
  294   1176.00       36.7479    -85.4788430878    -85.4682640083    0.287871
  295   1180.00      -39.6876    -85.4807942898    -85.4666957080    0.383642
  296   1184.00      -38.3213    -85.4675808161    -85.4509861296    0.451564
  297   1188.00      -40.8404    -85.4740559280    -85.4594366389    0.397811
  298   1192.00       38.5354    -85.4822119813    -85.4732027165    0.245155
  299   1196.00      -44.3182    -85.4757218050    -85.4685071535    0.196321
  300   1200.00      -43.2627    -85.4736046184    -85.4642026427    0.255841
  301   1204.00      -35.4971    -85.4628011437    -85.4503477602    0.338874
  302   1208.00       33.9338    -85.4611323563    -85.4484422311    0.345316
  303   1212.00      -35.3206    -85.4759956453    -85.4669688397    0.245632
  304   1216.00      -34.5584    -85.4823840307    -85.4749614401    0.201979
  305   1220.00      -39.6697    -85.4782781325    -85.4696112154    0.235839
  306   1224.00       40.8579    -85.4630772554    -85.4540476813    0.245707
  307   1228.00       41.4173    -85.4507321707    -85.4426701045    0.219380
  308   1232.00      -43.3047    -85.4726716866    -85.4674026099    0.143379
  309   1236.00       37.8547    -85.4790500524    -85.4731529749    0.160468
  310   1240.00       37.7647    -85.4773568703    -85.4660205355    0.308477
  311   1244.00      -37.6447    -85.4744755054    -85.4597331633    0.401160
  312   1248.00       34.3136    -85.4627458952    -85.4500911202    0.344354
  313   1252.00      -38.8299    -85.4694196643    -85.4630206370    0.174126
  314   1256.00       44.4783    -85.4706333429    -85.4664238615    0.114546
  315   1260.00      -41.7402    -85.4849858089    -85.4774279342    0.205660
  316   1264.00      -42.4598    -85.4819254754    -85.4701800165    0.319610
  317   1268.00      -47.2492    -85.4684736192    -85.4575579878    0.297029
  318   1272.00       50.0319    -85.4611079225    -85.4541542999    0.189218
  319   1276.00      -49.5486    -85.4544205168    -85.4501722244    0.115602
  320   1280.00      -53.0831    -85.4703615304    -85.4651349187    0.142223
  321   1284.00       48.4864    -85.4777155062    -85.4681987544    0.258964
  322   1288.00       44.0227    -85.4802542365    -85.4691355071    0.302556
