# call_index  Electronic(H)         Repulsive(H)          Total(H)
     103        -86.6536598303          0.9529028706        -85.7007569598
     104        -86.6324214684          0.9269965395        -85.7054249289
     105        -86.6126766148          0.9127454471        -85.6999311676
     106        -86.5963755399          0.9058939914        -85.6904815485
     107        -86.5821545197          0.8938093642        -85.6883451555
     108        -86.5686282678          0.8711368616        -85.6974914062
     109        -86.5556444624          0.8448738007        -85.7107706617
     110        -86.5442045042          0.8293812847        -85.7148232195
     111        -86.5333203501          0.8274985562        -85.7058217938
     112        -86.5180744625          0.8209865351        -85.6970879274
     113        -86.4961851368          0.7953888017        -85.7007963352
     114        -86.4730938879          0.7638098837        -85.7092840042
     115        -86.4559171546          0.7449496228        -85.7109675318
     116        -86.4484612850          0.7453145545        -85.7031467305
     117        -86.4498099961          0.7555759922        -85.6942340039
     118        -86.4565937549          0.7621636040        -85.6944301509
     119        -86.4660037050          0.7612078324        -85.7047958726
     120        -86.4768514485          0.7612924432        -85.7155590053
     121        -86.4886897825          0.7739723072        -85.7147174753
     122        -86.4979784392          0.7936562878        -85.7043221514
     123        -86.4987625185          0.7981109096        -85.7006516089
     124        -86.4905199763          0.7816023218        -85.7089176545
     125        -86.4792078782          0.7606199961        -85.7185878821
     126        -86.4709482937          0.7516036703        -85.7193446234
     127        -86.4686734809          0.7580218992        -85.7106515816
     128        -86.4712220061          0.7696862250        -85.7015357811
     129        -86.4762466550          0.7759392265        -85.7003074284
     130        -86.4824599390          0.7766073317        -85.7058526073
     131        -86.4900057638          0.7817055120        -85.7083002518
     132        -86.4986400555          0.7988012589        -85.6998387966
     133        -86.5041541768          0.8162727040        -85.6878814727
     134        -86.5024017590          0.8163500805        -85.6860516785
     135        -86.4957299484          0.8025484324        -85.6931815160
     136        -86.4901793728          0.7899148414        -85.7002645314
     137        -86.4909294079          0.7904467746        -85.7004826333
     138        -86.4995158192          0.8035801783        -85.6959356409
     139        -86.5137454075          0.8189433748        -85.6948020327
     140        -86.5307939604          0.8295831296        -85.7012108308
     141        -86.5483903856          0.8378295054        -85.7105608801
     142        -86.5649740333          0.8519384590        -85.7130355744
     143        -86.5776783211          0.8723186461        -85.7053596750
     144        -86.5806329867          0.8820380055        -85.6985949812
     145        -86.5712312008          0.8701971084        -85.7010340925
     146        -86.5532303191          0.8453854290        -85.7078448902
     147        -86.5326018447          0.8214459014        -85.7111559433
     148        -86.5146710214          0.8078524629        -85.7068185585
     149        -86.5016890481          0.8027660840        -85.6989229642
     150        -86.4932593766          0.7979926088        -85.6952667678
     151        -86.4884022665          0.7897753914        -85.6986268751
     152        -86.4861752508          0.7820124876        -85.7041627631
     153        -86.4859125789          0.7823067191        -85.7036058598
     154        -86.4846234268          0.7871226004        -85.6975008263
     155        -86.4781434766          0.7828896490        -85.6952538276
     156        -86.4666104175          0.7677761376        -85.6988342799
     157        -86.4538211753          0.7496503911        -85.7041707841
     158        -86.4445027160          0.7386626553        -85.7058400606
     159        -86.4422929325          0.7402690470        -85.7020238856
     160        -86.4478151303          0.7505934826        -85.6972216476
     161        -86.4593807935          0.7614567461        -85.6979240474
     162        -86.4747309756          0.7696838909        -85.7050470846
     163        -86.4918442557          0.7795280396        -85.7123162160
     164        -86.5085362058          0.7962624337        -85.7122737721
     165        -86.5199788788          0.8120387570        -85.7079401218
     166        -86.5224448173          0.8166682930        -85.7057765243
     167        -86.5165298881          0.8102793374        -85.7062505506
     168        -86.5052929996          0.7981865880        -85.7071064115
     169        -86.4929305479          0.7881311904        -85.7047993576
     170        -86.4828350607          0.7839881848        -85.6988468759
     171        -86.4761183782          0.7825225013        -85.6935958769
     172        -86.4726531687          0.7789542698        -85.6936988990
     173        -86.4720267093          0.7735358588        -85.6984908504
     174        -86.4740342652          0.7719586319        -85.7020756333
     175        -86.4773713973          0.7769161526        -85.7004552447
     176        -86.4787551021          0.7801786401        -85.6985764620
     177        -86.4774006524          0.7787888804        -85.6986117720
     178        -86.4750627250          0.7747157194        -85.7003470056
     179        -86.4742396063          0.7715951330        -85.7026444733
     180        -86.4778012542          0.7746230569        -85.7031781972
     181        -86.4871689918          0.7855533199        -85.7016156719
     182        -86.5011898494          0.7999747335        -85.7012151159
     183        -86.5175662752          0.8130699051        -85.7044963701
     184        -86.5340989823          0.8246836496        -85.7094153327
     185        -86.5496098053          0.8394118768        -85.7101979285
     186        -86.5621182593          0.8564678657        -85.7056503936
     187        -86.5693793808          0.8693835452        -85.6999958356
     188        -86.5716529864          0.8772364471        -85.6944165392
     189        -86.5702383808          0.8793500424        -85.6908883383
     190        -86.5673021463          0.8774096972        -85.6898924491
     191        -86.5655680825          0.8757128747        -85.6898552077
     192        -86.5664690775          0.8761287199        -85.6903403576
     193        -86.5692024019          0.8757321522        -85.6934702497
     194        -86.5717873768          0.8718412217        -85.6999461550
     195        -86.5723474811          0.8655710503        -85.7067764309
     196        -86.5699374836          0.8609530859        -85.7089843978
     197        -86.5629677449          0.8550804044        -85.7078873405
     198        -86.5516120774          0.8461477770        -85.7054643004
     199        -86.5381400126          0.8350877400        -85.7030522726
     200        -86.5248175536          0.8216869948        -85.7031305588
     201        -86.5143767144          0.8090050628        -85.7053716516
     202        -86.5092730001          0.8025953258        -85.7066776743
     203        -86.5095736400          0.8037442405        -85.7058293995
     204        -86.5127699393          0.8080316807        -85.7047382586
     205        -86.5153408269          0.8102230985        -85.7051177283
     206        -86.5147877080          0.8086165971        -85.7061711109
     207        -86.5101041725          0.8036077178        -85.7064964547
     208        -86.5023436952          0.7973251693        -85.7050185259
     209        -86.4949979997          0.7964133626        -85.6985846371
     210        -86.4901438155          0.7988556710        -85.6912881445
     211        -86.4885947007          0.8003684827        -85.6882262181
     212        -86.4913348948          0.8018862555        -85.6894486394
     213        -86.4990946464          0.8083240770        -85.6907705694
