# call_index  Electronic(H)         Repulsive(H)          Total(H)
     132        -86.5510174312          0.8617649943        -85.6892524369
     133        -86.5612061777          0.8737012692        -85.6875049085
     134        -86.5581276804          0.8669233172        -85.6912043633
     135        -86.5401030821          0.8414918666        -85.6986112156
     136        -86.5110154600          0.8081537337        -85.7028617263
     137        -86.4772568372          0.7766955868        -85.7005612504
     138        -86.4452677700          0.7499513503        -85.6953164197
     139        -86.4207271718          0.7278361416        -85.6928910302
     140        -86.4080452157          0.7130568157        -85.6949884000
     141        -86.4092597890          0.7113120706        -85.6979477184
     142        -86.4226757275          0.7253851855        -85.6972905420
     143        -86.4424431714          0.7490479887        -85.6933951827
     144        -86.4601917245          0.7684007296        -85.6917909949
     145        -86.4690196743          0.7724135858        -85.6966060886
     146        -86.4673102511          0.7627293014        -85.7045809498
     147        -86.4584555477          0.7496731410        -85.7087824067
     148        -86.4474841236          0.7404379028        -85.7070462208
     149        -86.4391181930          0.7359108316        -85.7032073615
     150        -86.4372236631          0.7355465756        -85.7016770875
     151        -86.4442899727          0.7416667402        -85.7026232325
     152        -86.4603857243          0.7580359961        -85.7023497282
     153        -86.4820707736          0.7839193460        -85.6981514275
     154        -86.5024660663          0.8099675515        -85.6924985148
     155        -86.5135302341          0.8222516691        -85.6912785651
     156        -86.5102095329          0.8134032158        -85.6968063171
     157        -86.4933389386          0.7893684582        -85.7039704804
     158        -86.4680648356          0.7617051334        -85.7063597022
     159        -86.4406022993          0.7369918481        -85.7036104513
     160        -86.4167428938          0.7162511666        -85.7004917272
     161        -86.4012092516          0.7001223652        -85.7010868864
     162        -86.3971607751          0.6928928216        -85.7042679534
     163        -86.4051785567          0.7001310719        -85.7050474847
     164        -86.4222394202          0.7219324041        -85.7003070160
     165        -86.4418695070          0.7487365451        -85.6931329620
     166        -86.4565362900          0.7663306566        -85.6902056335
     167        -86.4618413415          0.7681824966        -85.6936588448
     168        -86.4589252755          0.7607741602        -85.6981511153
     169        -86.4525287751          0.7546632041        -85.6978655709
     170        -86.4480164733          0.7546026421        -85.6934138312
     171        -86.4497939583          0.7593617018        -85.6904322565
     172        -86.4607102588          0.7678032486        -85.6929070103
     173        -86.4815960431          0.7828854962        -85.6987105469
     174        -86.5103284571          0.8086095989        -85.7017188582
     175        -86.5411974839          0.8427378326        -85.6984596513
     176        -86.5658370878          0.8734836457        -85.6923534422
     177        -86.5762221312          0.8858519966        -85.6903701346
     178        -86.5695082705          0.8755588121        -85.6939494584
     179        -86.5494553904          0.8524176588        -85.6970377316
     180        -86.5229030929          0.8278326530        -85.6950704399
     181        -86.4969007052          0.8067927151        -85.6901079901
     182        -86.4772201381          0.7892205894        -85.6879995487
     183        -86.4680339964          0.7765470656        -85.6914869307
     184        -86.4711616490          0.7737978936        -85.6973637553
     185        -86.4849541144          0.7847633373        -85.7001907771
     186        -86.5037544876          0.8050525988        -85.6987018888
     187        -86.5193231432          0.8218168678        -85.6975062754
     188        -86.5248078409          0.8236629307        -85.7011449102
     189        -86.5191635855          0.8125134661        -85.7066501194
     190        -86.5065133464          0.7992319549        -85.7072813915
     191        -86.4925818485          0.7915515043        -85.7010303442
     192        -86.4824093633          0.7897260647        -85.6926832986
     193        -86.4791037374          0.7899207521        -85.6891829853
     194        -86.4839319353          0.7912200712        -85.6927118642
     195        -86.4960334531          0.7970449588        -85.6989884943
     196        -86.5118115978          0.8098665602        -85.7019450375
     197        -86.5249335830          0.8247488188        -85.7001847642
     198        -86.5281366479          0.8300558418        -85.6980808062
     199        -86.5171005931          0.8175312476        -85.6995693455
     200        -86.4938687465          0.7922484442        -85.7016203023
     201        -86.4651586196          0.7660902592        -85.6990683605
     202        -86.4388846618          0.7473742947        -85.6915103670
     203        -86.4216884556          0.7371883751        -85.6845000806
     204        -86.4179303190          0.7340303478        -85.6838999712
     205        -86.4296476099          0.7397631920        -85.6898844179
     206        -86.4558735967          0.7587762455        -85.6970973512
     207        -86.4919686472          0.7915283261        -85.7004403211
     208        -86.5300457489          0.8296001234        -85.7004456255
     209        -86.5614624197          0.8592631311        -85.7021992886
     210        -86.5814584506          0.8738350269        -85.7076234237
     211        -86.5913234618          0.8794864717        -85.7118369902
     212        -86.5955974231          0.8851716769        -85.7104257462
     213        -86.5994227102          0.8951468541        -85.7042758561
     214        -86.6065150531          0.9075041819        -85.6990108712
     215        -86.6188222208          0.9201224021        -85.6986998187
     216        -86.6364703307          0.9351238908        -85.7013464399
     217        -86.6569595713          0.9557204935        -85.7012390778
     218        -86.6747269482          0.9791571229        -85.6955698253
     219        -86.6822719884          0.9942413012        -85.6880306872
     220        -86.6732393577          0.9879418697        -85.6852974879
     221        -86.6470695667          0.9589972193        -85.6880723475
     222        -86.6090950046          0.9179535665        -85.6911414381
     223        -86.5667567507          0.8755577663        -85.6911989844
     224        -86.5273884513          0.8378330732        -85.6895553781
     225        -86.4963607431          0.8058856224        -85.6904751206
     226        -86.4770673494          0.7816429256        -85.6954244238
     227        -86.4705234331          0.7695682481        -85.7009551851
     228        -86.4743916862          0.7723120529        -85.7020796333
     229        -86.4828792118          0.7848579648        -85.6980212470
     230        -86.4882653912          0.7948656386        -85.6933997526
     231        -86.4846295674          0.7916554760        -85.6929740914
     232        -86.4717689071          0.7769003715        -85.6948685356
     233        -86.4538776695          0.7589256480        -85.6949520215
     234        -86.4363879698          0.7437082659        -85.6926797039
     235        -86.4243946355          0.7334687190        -85.6909259165
     236        -86.4212393808          0.7286016164        -85.6926377645
     237        -86.4284297359          0.7316855009        -85.6967442350
     238        -86.4450767433          0.7463591835        -85.6987175598
     239        -86.4671677713          0.7717677493        -85.6954000220
     240        -86.4878906661          0.7985983798        -85.6892922864
     241        -86.4997605262          0.8131776027        -85.6865829236
     242        -86.4987083253          0.8088303467        -85.6898779786
     243        -86.4866181037          0.7923560643        -85.6942620394
     244        -86.4689016215          0.7738422660        -85.6950593555
     245        -86.4517078413          0.7585340975        -85.6931737438
     246        -86.4405913729          0.7472525564        -85.6933388165
     247        -86.4396382933          0.7412122603        -85.6984260330
     248        -86.4510157015          0.7452773028        -85.7057383987
     249        -86.4737692994          0.7642938555        -85.7094754439
     250        -86.5030253782          0.7961986452        -85.7068267330
     251        -86.5307553898          0.8294337251        -85.7013216647
